candidate_id,games_requested,games_succeeded,all_games_complete,macro_hit_at_1,macro_mae,statuses
sf-automfles,1,1,True,1.0,1.0,{'numbers3': 'SUCCEEDED'}
sf-windowaverage,1,1,True,0.6666666666666666,1.3333333333333333,{'numbers3': 'SUCCEEDED'}
sf-adida,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-arch,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-arima,1,1,True,0.3333333333333333,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-autoarima,1,1,True,0.3333333333333333,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-autoces,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-autoets,1,1,True,0.3333333333333333,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-autoregressive,1,1,True,0.3333333333333333,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-autotbats,1,1,True,0.3333333333333333,2.0,{'numbers3': 'SUCCEEDED'}
sf-autotheta,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-conformalseasonalpool,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-constantmodel,1,1,True,0.3333333333333333,4.333333333333333,{'numbers3': 'SUCCEEDED'}
sf-crostonclassic,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-crostonoptimized,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-dynamicoptimizedtheta,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-dynamictheta,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-garch,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-historicaverage,1,1,True,0.3333333333333333,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-holt,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-holtwinters,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-imapa,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-mfles,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-naive,1,1,True,0.3333333333333333,3.0,{'numbers3': 'SUCCEEDED'}
sf-optimizedtheta,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-randomwalkwithdrift,1,1,True,0.3333333333333333,3.0,{'numbers3': 'SUCCEEDED'}
sf-seasonalexponentialsmoothing,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-seasonalnaive,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-simpleexponentialsmoothing,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-simpleexponentialsmoothingoptimized,1,1,True,0.3333333333333333,2.0,{'numbers3': 'SUCCEEDED'}
sf-tbats,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-theta,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-tsb,1,1,True,0.3333333333333333,1.6666666666666667,{'numbers3': 'SUCCEEDED'}
sf-ucm,1,1,True,0.3333333333333333,2.3333333333333335,{'numbers3': 'SUCCEEDED'}
sf-crostonsba,1,1,True,0.0,2.0,{'numbers3': 'SUCCEEDED'}
sf-mstl,1,1,True,0.0,3.0,{'numbers3': 'SUCCEEDED'}
sf-seasonalexponentialsmoothingoptimized,1,1,True,0.0,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-seasonalwindowaverage,1,1,True,0.0,2.6666666666666665,{'numbers3': 'SUCCEEDED'}
sf-zeromodel,1,1,True,0.0,5.333333333333333,{'numbers3': 'SUCCEEDED'}
