candidate_id,games_requested,games_succeeded,all_games_complete,macro_hit_at_1,macro_mae,statuses
sf-simpleexponentialsmoothing,1,1,True,0.6225,1.26625,{'bingo5': 'SUCCEEDED'}
sf-tsb,1,1,True,0.6225,1.26625,{'bingo5': 'SUCCEEDED'}
sf-mstl,1,1,True,0.6125,1.23625,{'bingo5': 'SUCCEEDED'}
sf-windowaverage,1,1,True,0.60375,1.33,{'bingo5': 'SUCCEEDED'}
sf-seasonalexponentialsmoothingoptimized,1,1,True,0.595,1.23875,{'bingo5': 'SUCCEEDED'}
sf-seasonalexponentialsmoothing,1,1,True,0.58875,1.29375,{'bingo5': 'SUCCEEDED'}
sf-arima,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-autoarima,1,1,True,0.5875,1.22375,{'bingo5': 'SUCCEEDED'}
sf-autoces,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-autoets,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-automfles,1,1,True,0.5875,1.3525,{'bingo5': 'SUCCEEDED'}
sf-autoregressive,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-autotbats,1,1,True,0.5875,1.22125,{'bingo5': 'SUCCEEDED'}
sf-historicaverage,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-holt,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-ucm,1,1,True,0.5875,1.21625,{'bingo5': 'SUCCEEDED'}
sf-adida,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-autotheta,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-crostonclassic,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-crostonoptimized,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-dynamicoptimizedtheta,1,1,True,0.585,1.23,{'bingo5': 'SUCCEEDED'}
sf-dynamictheta,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-holtwinters,1,1,True,0.585,1.22,{'bingo5': 'SUCCEEDED'}
sf-imapa,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-optimizedtheta,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-theta,1,1,True,0.585,1.23125,{'bingo5': 'SUCCEEDED'}
sf-simpleexponentialsmoothingoptimized,1,1,True,0.5825,1.215,{'bingo5': 'SUCCEEDED'}
sf-tbats,1,1,True,0.58,1.245,{'bingo5': 'SUCCEEDED'}
sf-mfles,1,1,True,0.57875,1.405,{'bingo5': 'SUCCEEDED'}
sf-seasonalwindowaverage,1,1,True,0.55625,1.41,{'bingo5': 'SUCCEEDED'}
sf-crostonsba,1,1,True,0.52625,1.52375,{'bingo5': 'SUCCEEDED'}
sf-naive,1,1,True,0.525,1.545,{'bingo5': 'SUCCEEDED'}
sf-randomwalkwithdrift,1,1,True,0.525,1.545,{'bingo5': 'SUCCEEDED'}
sf-conformalseasonalpool,1,1,True,0.5175,1.5725,{'bingo5': 'SUCCEEDED'}
sf-seasonalnaive,1,1,True,0.5175,1.5725,{'bingo5': 'SUCCEEDED'}
sf-arch,1,1,True,0.07125,15.0225,{'bingo5': 'SUCCEEDED'}
sf-garch,1,1,True,0.07125,15.04625,{'bingo5': 'SUCCEEDED'}
sf-constantmodel,1,1,True,0.0425,16.03375,{'bingo5': 'SUCCEEDED'}
sf-zeromodel,1,1,True,0.0425,16.03375,{'bingo5': 'SUCCEEDED'}
