candidate_id,games_requested,games_succeeded,all_games_complete,macro_hit_at_1,macro_mae,statuses
sf-adida,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-autotheta,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-crostonclassic,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-crostonoptimized,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-dynamicoptimizedtheta,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-dynamictheta,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-imapa,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-optimizedtheta,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-theta,1,1,True,0.258,3.796,{'mini': 'SUCCEEDED'}
sf-tbats,1,1,True,0.25,3.776,{'mini': 'SUCCEEDED'}
sf-crostonsba,1,1,True,0.246,3.926,{'mini': 'SUCCEEDED'}
sf-seasonalwindowaverage,1,1,True,0.244,4.574,{'mini': 'SUCCEEDED'}
sf-holtwinters,1,1,True,0.242,3.818,{'mini': 'SUCCEEDED'}
sf-autoarima,1,1,True,0.24,3.786,{'mini': 'SUCCEEDED'}
sf-autoces,1,1,True,0.24,3.822,{'mini': 'SUCCEEDED'}
sf-simpleexponentialsmoothing,1,1,True,0.24,3.968,{'mini': 'SUCCEEDED'}
sf-tsb,1,1,True,0.24,3.968,{'mini': 'SUCCEEDED'}
sf-ucm,1,1,True,0.24,3.794,{'mini': 'SUCCEEDED'}
sf-autoets,1,1,True,0.236,3.794,{'mini': 'SUCCEEDED'}
sf-autotbats,1,1,True,0.236,3.786,{'mini': 'SUCCEEDED'}
sf-simpleexponentialsmoothingoptimized,1,1,True,0.236,3.804,{'mini': 'SUCCEEDED'}
sf-historicaverage,1,1,True,0.234,3.792,{'mini': 'SUCCEEDED'}
sf-arima,1,1,True,0.232,3.796,{'mini': 'SUCCEEDED'}
sf-autoregressive,1,1,True,0.232,3.796,{'mini': 'SUCCEEDED'}
sf-holt,1,1,True,0.232,3.818,{'mini': 'SUCCEEDED'}
sf-seasonalexponentialsmoothing,1,1,True,0.232,4.094,{'mini': 'SUCCEEDED'}
sf-automfles,1,1,True,0.222,4.196,{'mini': 'SUCCEEDED'}
sf-seasonalexponentialsmoothingoptimized,1,1,True,0.222,3.914,{'mini': 'SUCCEEDED'}
sf-conformalseasonalpool,1,1,True,0.22,5.24,{'mini': 'SUCCEEDED'}
sf-seasonalnaive,1,1,True,0.22,5.24,{'mini': 'SUCCEEDED'}
sf-windowaverage,1,1,True,0.218,4.34,{'mini': 'SUCCEEDED'}
sf-mfles,1,1,True,0.216,4.496,{'mini': 'SUCCEEDED'}
sf-mstl,1,1,True,0.214,4.092,{'mini': 'SUCCEEDED'}
sf-naive,1,1,True,0.208,5.124,{'mini': 'SUCCEEDED'}
sf-randomwalkwithdrift,1,1,True,0.208,5.124,{'mini': 'SUCCEEDED'}
sf-arch,1,1,True,0.1,8.944,{'mini': 'SUCCEEDED'}
sf-garch,1,1,True,0.1,8.944,{'mini': 'SUCCEEDED'}
sf-constantmodel,1,1,True,0.064,13.488,{'mini': 'SUCCEEDED'}
sf-zeromodel,1,1,True,0.064,13.488,{'mini': 'SUCCEEDED'}
