candidate_id,games_requested,games_succeeded,all_games_complete,macro_hit_at_1,macro_mae,statuses
sf-mstl,1,1,True,0.33,2.535,{'numbers4': 'SUCCEEDED'}
sf-ucm,1,1,True,0.325,2.5175,{'numbers4': 'SUCCEEDED'}
sf-holt,1,1,True,0.32,2.5525,{'numbers4': 'SUCCEEDED'}
sf-autoets,1,1,True,0.3175,2.5125,{'numbers4': 'SUCCEEDED'}
sf-historicaverage,1,1,True,0.3175,2.5125,{'numbers4': 'SUCCEEDED'}
sf-arima,1,1,True,0.3125,2.5025,{'numbers4': 'SUCCEEDED'}
sf-autoregressive,1,1,True,0.3125,2.5025,{'numbers4': 'SUCCEEDED'}
sf-holtwinters,1,1,True,0.3125,2.5175,{'numbers4': 'SUCCEEDED'}
sf-seasonalexponentialsmoothingoptimized,1,1,True,0.3125,2.4975,{'numbers4': 'SUCCEEDED'}
sf-arch,1,1,True,0.31,2.5675,{'numbers4': 'SUCCEEDED'}
sf-garch,1,1,True,0.3075,2.55,{'numbers4': 'SUCCEEDED'}
sf-autotbats,1,1,True,0.305,2.53,{'numbers4': 'SUCCEEDED'}
sf-autoarima,1,1,True,0.3025,2.5275,{'numbers4': 'SUCCEEDED'}
sf-autoces,1,1,True,0.3025,2.545,{'numbers4': 'SUCCEEDED'}
sf-crostonsba,1,1,True,0.3025,2.56,{'numbers4': 'SUCCEEDED'}
sf-tbats,1,1,True,0.2975,2.5425,{'numbers4': 'SUCCEEDED'}
sf-crostonclassic,1,1,True,0.295,2.58,{'numbers4': 'SUCCEEDED'}
sf-crostonoptimized,1,1,True,0.295,2.58,{'numbers4': 'SUCCEEDED'}
sf-simpleexponentialsmoothingoptimized,1,1,True,0.2925,2.5975,{'numbers4': 'SUCCEEDED'}
sf-seasonalexponentialsmoothing,1,1,True,0.29,2.62,{'numbers4': 'SUCCEEDED'}
sf-adida,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-autotheta,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-conformalseasonalpool,1,1,True,0.2875,3.3025,{'numbers4': 'SUCCEEDED'}
sf-dynamicoptimizedtheta,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-dynamictheta,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-imapa,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-optimizedtheta,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-seasonalnaive,1,1,True,0.2875,3.3025,{'numbers4': 'SUCCEEDED'}
sf-theta,1,1,True,0.2875,2.6,{'numbers4': 'SUCCEEDED'}
sf-constantmodel,1,1,True,0.2825,3.8575,{'numbers4': 'SUCCEEDED'}
sf-mfles,1,1,True,0.2825,3.0775,{'numbers4': 'SUCCEEDED'}
sf-automfles,1,1,True,0.2675,2.84,{'numbers4': 'SUCCEEDED'}
sf-tsb,1,1,True,0.2675,2.75,{'numbers4': 'SUCCEEDED'}
sf-naive,1,1,True,0.265,3.5175,{'numbers4': 'SUCCEEDED'}
sf-randomwalkwithdrift,1,1,True,0.265,3.5175,{'numbers4': 'SUCCEEDED'}
sf-simpleexponentialsmoothing,1,1,True,0.2625,2.7725,{'numbers4': 'SUCCEEDED'}
sf-seasonalwindowaverage,1,1,True,0.255,3.0225,{'numbers4': 'SUCCEEDED'}
sf-windowaverage,1,1,True,0.2525,2.9075,{'numbers4': 'SUCCEEDED'}
sf-zeromodel,1,1,True,0.2,4.6625,{'numbers4': 'SUCCEEDED'}
