candidate_id,games_requested,games_succeeded,all_games_complete,macro_hit_at_1,macro_mae,statuses
sf-tbats,6,6,True,0.4507936507936508,2.29265873015873,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-automfles,6,6,True,0.4307539682539683,2.5984126984126985,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-simpleexponentialsmoothing,6,6,True,0.4089285714285715,2.4277777777777776,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-tsb,6,6,True,0.4089285714285715,2.4277777777777776,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-adida,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autotheta,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-crostonclassic,6,6,True,0.3966269841269841,2.3722222222222222,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-crostonoptimized,6,6,True,0.3966269841269841,2.3722222222222222,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-dynamicoptimizedtheta,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-dynamictheta,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-imapa,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-optimizedtheta,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-seasonalexponentialsmoothing,6,6,True,0.3966269841269841,2.802579365079365,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-theta,6,6,True,0.3966269841269841,2.413888888888889,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-windowaverage,6,6,True,0.3950396825396825,2.6998015873015873,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-arima,6,6,True,0.3880952380952381,2.8869047619047614,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autoarima,6,6,True,0.3880952380952381,2.9142857142857146,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autoces,6,6,True,0.3880952380952381,2.938095238095238,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autoets,6,6,True,0.3880952380952381,2.872619047619048,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autoregressive,6,6,True,0.3880952380952381,2.8869047619047614,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-autotbats,6,6,True,0.3880952380952381,2.864087301587302,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-historicaverage,6,6,True,0.3880952380952381,2.872619047619048,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-holtwinters,6,6,True,0.3880952380952381,2.938095238095238,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
sf-ucm,6,6,True,0.3880952380952381,2.8349206349206355,"{'bingo5': 'SUCCEEDED', 'loto6': 'SUCCEEDED', 'loto7': 'SUCCEEDED', 'mini': 'SUCCEEDED', 'numbers3': 'SUCCEEDED', 'numbers4': 'SUCCEEDED'}"
