game,candidate_id,source,library,task,status,reason,protocol_hash,hit_at_1_mean,hit_at_1_variance,hit_at_1_worst,hit_at_1_worst_seed,position_hit_at_1_mean,position_hit_at_1_variance,position_hit_at_1_worst,position_hit_at_1_worst_seed,all_positions_hit_at_1_mean,all_positions_hit_at_1_variance,all_positions_hit_at_1_worst,all_positions_hit_at_1_worst_seed,mae_mean,mae_variance,mae_worst,mae_worst_seed,mse_mean,mse_variance,mse_worst,mse_worst_seed,rmse_mean,rmse_variance,rmse_worst,rmse_worst_seed
bingo5,baseline:random,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.125,0.0,0.125,1,0.125,0.0,0.125,1,0.0,0.0,0.0,1,4.125,0.0,4.125,1,19.625,0.0,19.625,1,4.430011286667337,0.0,4.430011286667337,1
bingo5,baseline:fixed,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,0.75,0.0,0.75,1,1.25,0.0,1.25,1,1.118033988749895,0.0,1.118033988749895,1
bingo5,baseline:mean,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,baseline:median,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,baseline:last,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.5,0.0,0.5,1,0.5,0.0,0.5,1,0.0,0.0,0.0,1,1.375,0.0,1.375,1,2.875,0.0,2.875,1,1.695582495781317,0.0,1.695582495781317,1
bingo5,baseline:frequency,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.625,0.0,0.625,1,0.625,0.0,0.625,1,0.0,0.0,0.0,1,1.5,0.0,1.5,1,4.5,0.0,4.5,1,2.1213203435596424,0.0,2.1213203435596424,1
bingo5,baseline:statistical_ar1,baseline,baseline,position,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-autoarima,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-autoets,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-autoces,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-autotheta,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.625,0.0,0.625,1,0.625,0.0,0.625,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,2.0,0.0,2.0,1,1.4142135623730951,0.0,1.4142135623730951,1
bingo5,sf-automfles,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.625,0.0,0.625,1,0.625,0.0,0.625,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,2.0,0.0,2.0,1,1.4142135623730951,0.0,1.4142135623730951,1
bingo5,sf-autotbats,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.125,0.0,1.125,1,1.625,0.0,1.625,1,1.2747548783981961,0.0,1.2747548783981961,1
bingo5,sf-arima,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-autoregressive,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-simpleexponentialsmoothing,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.875,0.0,0.875,1,0.875,0.0,0.875,1,0.0,0.0,0.0,1,1.0,0.0,1.0,1,1.25,0.0,1.25,1,1.118033988749895,0.0,1.118033988749895,1
bingo5,sf-simpleexponentialsmoothingoptimized,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.125,0.0,1.125,1,1.625,0.0,1.625,1,1.2747548783981961,0.0,1.2747548783981961,1
bingo5,sf-seasonalexponentialsmoothing,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.625,0.0,0.625,1,0.625,0.0,0.625,1,0.0,0.0,0.0,1,1.375,0.0,1.375,1,2.625,0.0,2.625,1,1.620185174601965,0.0,1.620185174601965,1
bingo5,sf-seasonalexponentialsmoothingoptimized,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-holt,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-holtwinters,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-historicaverage,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.75,0.0,0.75,1,0.75,0.0,0.75,1,0.0,0.0,0.0,1,1.25,0.0,1.25,1,1.75,0.0,1.75,1,1.3228756555322954,0.0,1.3228756555322954,1
bingo5,sf-naive,catalog,statsforecast,position_series,SUCCEEDED,,928ecee247745ca5148157558ac0324cc83ec0cd5158852e4468b28ab4d3ec17,0.5,0.0,0.5,1,0.5,0.0,0.5,1,0.0,0.0,0.0,1,1.375,0.0,1.375,1,2.875,0.0,2.875,1,1.695582495781317,0.0,1.695582495781317,1
