kind,official_class,official_module,platform_reference_count,platform_model_ids,platform_available_values,catalog_status,runtime_status
fixed,Autoformer,neuralforecast.models.autoformer,0,,,MISSING,NOT_YET_EVALUATED
fixed,BiTCN,neuralforecast.models.bitcn,0,,,MISSING,NOT_YET_EVALUATED
fixed,DLinear,neuralforecast.models.dlinear,2,nf-dlinear,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,DeepAR,neuralforecast.models.deepar,2,nf-deepar,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,DeepNPTS,neuralforecast.models.deepnpts,0,,,MISSING,NOT_YET_EVALUATED
fixed,DilatedRNN,neuralforecast.models.dilated_rnn,0,,,MISSING,NOT_YET_EVALUATED
fixed,FEDformer,neuralforecast.models.fedformer,0,,,MISSING,NOT_YET_EVALUATED
fixed,GRU,neuralforecast.models.gru,2,nf-gru,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,HINT,neuralforecast.models.hint,0,,,MISSING,NOT_YET_EVALUATED
fixed,Informer,neuralforecast.models.informer,0,,,MISSING,NOT_YET_EVALUATED
fixed,KAN,neuralforecast.models.kan,0,,,MISSING,NOT_YET_EVALUATED
fixed,LSTM,neuralforecast.models.lstm,2,nf-lstm,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,MLP,neuralforecast.models.mlp,0,,,MISSING,NOT_YET_EVALUATED
fixed,MLPMultivariate,neuralforecast.models.mlpmultivariate,0,,,MISSING,NOT_YET_EVALUATED
fixed,NBEATS,neuralforecast.models.nbeats,2,nf-nbeats,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,NBEATSx,neuralforecast.models.nbeatsx,2,nf-nbeatsx,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,NHITS,neuralforecast.models.nhits,2,nf-nhits,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,NLinear,neuralforecast.models.nlinear,2,nf-nlinear,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,PatchTST,neuralforecast.models.patchtst,2,nf-patchtst,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,RMoK,neuralforecast.models.rmok,0,,,MISSING,NOT_YET_EVALUATED
fixed,RNN,neuralforecast.models.rnn,0,,,MISSING,NOT_YET_EVALUATED
fixed,SOFTS,neuralforecast.models.softs,0,,,MISSING,NOT_YET_EVALUATED
fixed,SOFTSSharp,neuralforecast.models.softssharp,0,,,MISSING,NOT_YET_EVALUATED
fixed,StemGNN,neuralforecast.models.stemgnn,0,,,MISSING,NOT_YET_EVALUATED
fixed,TCN,neuralforecast.models.tcn,2,nf-tcn,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,TFT,neuralforecast.models.tft,2,nf-tft,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,TSMixer,neuralforecast.models.tsmixer,2,nf-tsmixer,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,TSMixerx,neuralforecast.models.tsmixerx,0,,,MISSING,NOT_YET_EVALUATED
fixed,TiDE,neuralforecast.models.tide,2,nf-tide,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,TimeLLM,neuralforecast.models.timellm,0,,,MISSING,NOT_YET_EVALUATED
fixed,TimeMixer,neuralforecast.models.timemixer,2,nf-timemixer,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,TimeXer,neuralforecast.models.timexer,0,,,MISSING,NOT_YET_EVALUATED
fixed,TimesNet,neuralforecast.models.timesnet,2,nf-timesnet,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,VanillaTransformer,neuralforecast.models.vanillatransformer,2,nf-vanilla-transformer,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,XLinear,neuralforecast.models.xlinear,0,,,MISSING,NOT_YET_EVALUATED
fixed,iTransformer,neuralforecast.models.itransformer,2,nf-itransformer,false|true,REFERENCED,NOT_YET_EVALUATED
fixed,xLSTM,neuralforecast.models.xlstm,0,,,MISSING,NOT_YET_EVALUATED
auto,AutoAutoformer,neuralforecast.auto,1,nf-auto-autoformer,true,REFERENCED,NOT_YET_EVALUATED
auto,AutoBiTCN,neuralforecast.auto,1,nf-auto-bitcn,true,REFERENCED,NOT_YET_EVALUATED
