design_id,changed_factor,changed_level,input_size,encoder_hidden_size,context_size,decoder_hidden_size,kernel_size,dilations,learning_rate,scaler_type,batch_size
baseline,baseline,baseline,128,32,10,32,3,"[1, 2, 4]",0.001,robust,32
input_size-bff6b6ffd6e3,input_size,64,64,32,10,32,3,"[1, 2, 4]",0.001,robust,32
input_size-d8e9de5f47ec,input_size,256,256,32,10,32,3,"[1, 2, 4]",0.001,robust,32
encoder_hidden_size-51b80714aa95,encoder_hidden_size,16,128,16,10,32,3,"[1, 2, 4]",0.001,robust,32
context_size-10e9e9847399,context_size,5,128,32,5,32,3,"[1, 2, 4]",0.001,robust,32
decoder_hidden_size-7df3c3264fc6,decoder_hidden_size,16,128,32,10,16,3,"[1, 2, 4]",0.001,robust,32
kernel_size-fca73d2da514,kernel_size,2,128,32,10,32,2,"[1, 2, 4]",0.001,robust,32
dilations-3f4e883a459a,dilations,"[1, 2]",128,32,10,32,3,"[1, 2]",0.001,robust,32
learning_rate-c34add9267ad,learning_rate,0.0003,128,32,10,32,3,"[1, 2, 4]",0.0003,robust,32
scaler_type-c0a4afdf4df2,scaler_type,"""standard""",128,32,10,32,3,"[1, 2, 4]",0.001,standard,32
