model_id,family,role,priority,likelihood,primary_backend,primary_profile,implementation_kind,module,graph_id,runtime_tier,tasks,declared_backends
pp-uniform-dirichlet,conjugate,control,p0,Categorical,builtin,,analytic,backends/builtin.py,uniform_dirichlet,confirmatory,digit_categorical|select_position_categorical,builtin|pymc|numpyro|stan
pp-static-dirichlet-categorical,conjugate,baseline,p0,Categorical,builtin,,analytic,backends/builtin.py,static_dirichlet_categorical,confirmatory,digit_categorical|select_position_categorical,builtin|pymc|numpyro|stan
pp-expanding-dirichlet-categorical,conjugate,baseline,p0,Categorical,builtin,,analytic,backends/builtin.py,expanding_dirichlet_categorical,confirmatory,digit_categorical|select_position_categorical,builtin|pymc|numpyro|stan
pp-rolling-dirichlet-categorical,conjugate,candidate,p0,Categorical,builtin,,analytic,backends/builtin.py,rolling_dirichlet_categorical,confirmatory,digit_categorical|select_position_categorical,builtin|pymc|numpyro|stan
pp-discounted-dirichlet-categorical,conjugate,candidate,p0,Categorical,builtin,,analytic,backends/builtin.py,discounted_dirichlet_categorical,confirmatory,digit_categorical|select_position_categorical,builtin|pymc|numpyro
pp-empirical-bayes-dirichlet,empirical_bayes,candidate,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,empirical_bayes_dirichlet,confirmatory,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-dirichlet-multinomial,conjugate,candidate,p1,DirichletMultinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,dirichlet_multinomial,standard,window_count,pymc|numpyro|stan
pp-beta-binomial-position,conjugate,candidate,p1,BetaBinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,beta_binomial_position,standard,select_position_inclusion,pymc|numpyro|stan
pp-beta-binomial-candidate,conjugate,candidate,p1,BetaBinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,beta_binomial_candidate,standard,select_candidate_inclusion,pymc|numpyro|stan
pp-hierarchical-dirichlet-digits,hierarchical,candidate,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,hierarchical_dirichlet_digits,confirmatory,digit_categorical,pymc|numpyro|stan|pyro
pp-hierarchical-dirichlet-games,hierarchical,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,hierarchical_dirichlet_games,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-multinomial-logit-normal,bayesian_regression,candidate,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,multinomial_logit_normal,confirmatory,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-multinomial-logit-laplace,bayesian_regression,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,multinomial_logit_laplace,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-multinomial-logit-horseshoe,bayesian_regression,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,multinomial_logit_horseshoe,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-multinomial-logit-regularized-horseshoe,bayesian_regression,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,multinomial_logit_regularized_horseshoe,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-multinomial-probit,bayesian_regression,research,p2,Categorical,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,multinomial_probit,bounded,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-ordinal-cumulative-logit,ordinal,candidate,p0,OrderedLogistic,pymc,pymc-nuts,native_pymc,models/pymc_native.py,ordinal_cumulative_logit,confirmatory,digit_ordinal|select_position_ordinal,pymc|numpyro|stan
pp-ordinal-adjacent-category,ordinal,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,ordinal_adjacent_category,standard,digit_ordinal|select_position_ordinal,pymc|numpyro|stan
pp-ordinal-continuation-ratio,ordinal,candidate,p1,Bernoulli sequence,pymc,pymc-nuts,native_pymc,models/pymc_native.py,ordinal_continuation_ratio,standard,digit_ordinal|select_position_ordinal,pymc|numpyro|stan
pp-bayesian-spline-categorical,semi_parametric,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_spline_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-bayesian-gam-categorical,semi_parametric,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_gam_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-bart-categorical,tree_bayesian,candidate,p1,Categorical/Bernoulli,pymc_bart,pymc-nuts,native_pymc_bart,backends/pymc_bart_adapter.py,bart_categorical,standard,digit_categorical|select_candidate_inclusion,pymc_bart
pp-gp-categorical,gaussian_process,research,p2,Categorical,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,gp_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|pyro|tfp
pp-dynamic-dirichlet-discount,dynamic_conjugate,candidate,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,dynamic_dirichlet_discount,confirmatory,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-logistic-normal-random-walk,state_space,candidate,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,logistic_normal_random_walk,confirmatory,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-local-level-categorical,state_space,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,local_level_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-local-linear-trend-categorical,state_space,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,local_linear_trend_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-dynamic-regression-categorical,state_space,candidate,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,dynamic_regression_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-dynamic-horseshoe-categorical,state_space,research,p2,Categorical,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,dynamic_horseshoe_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|stan
pp-single-changepoint-categorical,changepoint,candidate,p1,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,single_changepoint_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|pyro
pp-multiple-changepoint-categorical,changepoint,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,multiple_changepoint_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|pyro
pp-hmm-categorical,regime_switching,candidate,p1,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,hmm_categorical,standard,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-hsmm-categorical,regime_switching,research,p2,Categorical,numpyro,numpyro-svi-lowrank,native_numpyro,models/numpyro_native.py,hsmm_categorical,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-switching-logistic-normal,regime_switching,research,p2,Categorical,numpyro,numpyro-svi-lowrank,native_numpyro,models/numpyro_native.py,switching_logistic_normal,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-switching-dynamic-regression,regime_switching,research,p2,Categorical,numpyro,numpyro-svi-lowrank,native_numpyro,models/numpyro_native.py,switching_dynamic_regression,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-seasonal-harmonic-categorical,state_space,research,p2,Categorical,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,seasonal_harmonic_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-gaussian-process-time-varying-logit,gaussian_process,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,gaussian_process_time_varying_logit,bounded,digit_categorical|select_position_categorical,pymc|numpyro|pyro|tfp
pp-poisson-candidate-count,count,candidate,p1,Poisson,pymc,pymc-nuts,native_pymc,models/pymc_native.py,poisson_candidate_count,standard,window_count,pymc|numpyro|stan|pyro
pp-negative-binomial-candidate-count,count,candidate,p1,NegativeBinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,negative_binomial_candidate_count,standard,window_count,pymc|numpyro|stan|pyro
pp-zero-inflated-poisson-count,count,research,p2,ZeroInflatedPoisson,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,zero_inflated_poisson_count,bounded,window_count,pymc|numpyro|pyro
