number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_lag_transforms_idx,params_lags_idx,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_subsample,params_target_transforms_idx,user_attrs_config,state
0,inf,2026-08-18 13:27:51.253960,2026-08-18 13:27:51.255616,0 days 00:00:00.001656,0.23208030173540176,8,0,0,0.0010006061777325433,10.141520882110981,446,0.3720993153686558,3,"{'model_params': {'silent': True, 'n_estimators': 446, 'depth': 8, 'learning_rate': 0.0010006061777325433, 'subsample': 0.3720993153686558, 'colsample_bylevel': 0.23208030173540176, 'min_data_in_leaf': 10.141520882110981}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000022DC8CC4CD0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DAE78FBF0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
1,3.2898951154901113,2026-08-18 13:27:51.255943,2026-08-18 13:27:52.639002,0 days 00:00:01.383059,0.2782913401763909,5,1,0,0.01930021084703238,80.27371229887812,687,0.2263482447357104,0,"{'model_params': {'silent': True, 'n_estimators': 687, 'depth': 5, 'learning_rate': 0.01930021084703238, 'subsample': 0.2263482447357104, 'colsample_bylevel': 0.2782913401763909, 'min_data_in_leaf': 80.27371229887812}, 'mlf_init_params': {'lags': None, 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
2,inf,2026-08-18 13:27:52.639290,2026-08-18 13:27:52.639983,0 days 00:00:00.000693,0.722689402555426,5,0,0,0.16000462688243752,32.23604746960023,143,0.5798487564757154,4,"{'model_params': {'silent': True, 'n_estimators': 143, 'depth': 5, 'learning_rate': 0.16000462688243752, 'subsample': 0.5798487564757154, 'colsample_bylevel': 0.722689402555426, 'min_data_in_leaf': 32.23604746960023}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000022DC8C3C9D0>, <mlforecast.target_transforms.Differences object at 0x0000022DC8C3CC30>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C0A250>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
3,3.2900658420844344,2026-08-18 13:27:52.640161,2026-08-18 13:27:53.346495,0 days 00:00:00.706334,0.2170257149064499,10,1,0,0.004738217174314708,2.9173288291594104,475,0.3589978047277139,0,"{'model_params': {'silent': True, 'n_estimators': 475, 'depth': 10, 'learning_rate': 0.004738217174314708, 'subsample': 0.3589978047277139, 'colsample_bylevel': 0.2170257149064499, 'min_data_in_leaf': 2.9173288291594104}, 'mlf_init_params': {'lags': None, 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
4,2.755153362834052,2026-08-18 13:27:53.346729,2026-08-18 13:27:53.692699,0 days 00:00:00.345970,0.14495811305147846,5,0,1,0.03961280462151686,54.053744185635644,147,0.47276134257421243,2,"{'model_params': {'silent': True, 'n_estimators': 147, 'depth': 5, 'learning_rate': 0.03961280462151686, 'subsample': 0.47276134257421243, 'colsample_bylevel': 0.14495811305147846, 'min_data_in_leaf': 54.053744185635644}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8C1AB10>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8DB4050>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
5,3.299633753014983,2026-08-18 13:27:53.692951,2026-08-18 13:27:54.272136,0 days 00:00:00.579185,0.7533981868154063,10,0,1,0.006312765759196979,88.44730302937518,207,0.7757308928225399,4,"{'model_params': {'silent': True, 'n_estimators': 207, 'depth': 10, 'learning_rate': 0.006312765759196979, 'subsample': 0.7757308928225399, 'colsample_bylevel': 0.7533981868154063, 'min_data_in_leaf': 88.44730302937518}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000022DC8C0A580>, <mlforecast.target_transforms.Differences object at 0x0000022DC8DC4290>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DAE02CD70>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
6,3.2901374723725674,2026-08-18 13:27:54.272424,2026-08-18 13:27:54.774723,0 days 00:00:00.502299,0.46732312248515306,10,1,1,0.010845793080018134,24.465671044059743,159,0.6205506529484186,0,"{'model_params': {'silent': True, 'n_estimators': 159, 'depth': 10, 'learning_rate': 0.010845793080018134, 'subsample': 0.6205506529484186, 'colsample_bylevel': 0.46732312248515306, 'min_data_in_leaf': 24.465671044059743}, 'mlf_init_params': {'lags': [1], 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
7,2.2665693641637015,2026-08-18 13:27:54.775255,2026-08-18 13:27:56.023312,0 days 00:00:01.248057,0.9975905654063324,1,0,1,0.13761410625886128,18.061710326187526,642,0.7218072257652316,1,"{'model_params': {'silent': True, 'n_estimators': 642, 'depth': 1, 'learning_rate': 0.13761410625886128, 'subsample': 0.7218072257652316, 'colsample_bylevel': 0.9975905654063324, 'min_data_in_leaf': 18.061710326187526}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8D8E3D0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
8,3.289980009833898,2026-08-18 13:27:56.023673,2026-08-18 13:27:56.331198,0 days 00:00:00.307525,0.8740251538145992,1,1,0,0.0011618072386061404,54.344275369823634,68,0.32158996084274133,1,"{'model_params': {'silent': True, 'n_estimators': 68, 'depth': 1, 'learning_rate': 0.0011618072386061404, 'subsample': 0.32158996084274133, 'colsample_bylevel': 0.8740251538145992, 'min_data_in_leaf': 54.344275369823634}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8DA4590>], 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
9,2.266813444278267,2026-08-18 13:27:56.331707,2026-08-18 13:27:56.971293,0 days 00:00:00.639586,0.7724094784634662,9,0,1,0.007806906465732987,56.067783165051466,271,0.8771876691034858,0,"{'model_params': {'silent': True, 'n_estimators': 271, 'depth': 9, 'learning_rate': 0.007806906465732987, 'subsample': 0.8771876691034858, 'colsample_bylevel': 0.7724094784634662, 'min_data_in_leaf': 56.067783165051466}, 'mlf_init_params': {'lags': [1], 'target_transforms': None, 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
