status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-bart-categorical__bingo5__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,bingo5,select_candidate_inclusion,pymc_bart,,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__bingo5__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,bingo5,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__bingo5__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,bingo5,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__bingo5__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,bingo5,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-gru__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__bingo5__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,bingo5,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__bingo5__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,bingo5,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,bingo5,select_position_ordinal,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-spline-categorical__bingo5__pymc__pymc-nuts__s1,pp-bayesian-spline-categorical,semi_parametric,bingo5,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-tcn__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-tcn,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-temperature-calibration__bingo5__pymc__pymc-nuts__s1,pp-bayesian-temperature-calibration,calibration,bingo5,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-transformer__bingo5__pyro__pyro-svi-autonormal__s1,pp-bayesian-transformer,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-beta-binomial-candidate__bingo5__pymc__pymc-nuts__s1,pp-beta-binomial-candidate,conjugate,bingo5,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-overdispersed__bingo5__pymc__pymc-nuts__s1,pp-beta-binomial-overdispersed,count,bingo5,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-position__bingo5__pymc__pymc-nuts__s1,pp-beta-binomial-position,conjugate,bingo5,select_position_inclusion,pymc,,,,,,,,,,,
PASS,pp-bocpd-dirichlet-categorical__bingo5__builtin__analytic__s1,pp-bocpd-dirichlet-categorical,changepoint,bingo5,online_changepoint,builtin,e992a7571c35ab9dbb913ab649c8ca535bb81107e88e41714fdbec4199080b3a,0.1723454489983851,,0.125,4.75,25.5,0.0,3.0,0.23076923076923078,0.9303392657405349,2.8287564357960293
PASS,pp-conditional-bernoulli-fixed-k__bingo5__builtin__analytic__s1,pp-conditional-bernoulli-fixed-k,fixed_subset,bingo5,fixed_cardinality_subset,builtin,160bc62fb6d30ce00e1fc5872be209981472e6ba4afe0af6e069bdaf9b81ff09,0.28101294599764515,,0.375,2.75,11.75,0.0,2.0,0.14285714285714285,0.15349311337900656,3.5870856151064645
BLOCKED,pp-deep-markov-model__bingo5__pyro__pyro-svi-autonormal__s1,pp-deep-markov-model,deep_probabilistic,bingo5,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-dirichlet-multinomial__bingo5__pymc__pymc-nuts__s1,pp-dirichlet-multinomial,conjugate,bingo5,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-dirichlet-process-categorical__bingo5__pymc__pymc-smc__s1,pp-dirichlet-process-categorical,nonparametric,bingo5,select_position_categorical,pymc,,,,,,,,,,,
