status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-bart-categorical__loto7__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,loto7,select_candidate_inclusion,pymc_bart,,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__loto7__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,loto7,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__loto7__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,loto7,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__loto7__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-gru__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__loto7__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,loto7,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__loto7__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,loto7,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,loto7,select_position_ordinal,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-spline-categorical__loto7__pymc__pymc-nuts__s1,pp-bayesian-spline-categorical,semi_parametric,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-tcn__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-tcn,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-temperature-calibration__loto7__pymc__pymc-nuts__s1,pp-bayesian-temperature-calibration,calibration,loto7,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-transformer__loto7__pyro__pyro-svi-autonormal__s1,pp-bayesian-transformer,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-beta-binomial-candidate__loto7__pymc__pymc-nuts__s1,pp-beta-binomial-candidate,conjugate,loto7,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-overdispersed__loto7__pymc__pymc-nuts__s1,pp-beta-binomial-overdispersed,count,loto7,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-position__loto7__pymc__pymc-nuts__s1,pp-beta-binomial-position,conjugate,loto7,select_position_inclusion,pymc,,,,,,,,,,,
PASS,pp-bocpd-dirichlet-categorical__loto7__builtin__analytic__s1,pp-bocpd-dirichlet-categorical,changepoint,loto7,online_changepoint,builtin,f02aa7874ea0da02b5c5363c608e00750b808892f305b3eda1566442657cd136,0.11542029600241221,,0.14285714285714285,4.285714285714286,25.428571428571427,0.0,1.0,0.07692307692307693,0.9450704449602944,3.075247383373106
PASS,pp-conditional-bernoulli-fixed-k__loto7__builtin__analytic__s1,pp-conditional-bernoulli-fixed-k,fixed_subset,loto7,fixed_cardinality_subset,builtin,47049242061246b137079f16b2392691be3ef9a874d668beb2deeac5633607c1,0.20236086299701128,,0.14285714285714285,7.285714285714286,62.142857142857146,0.0,1.0,0.07692307692307693,0.15872346291732625,3.679152167815875
BLOCKED,pp-deep-markov-model__loto7__pyro__pyro-svi-autonormal__s1,pp-deep-markov-model,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-dirichlet-multinomial__loto7__pymc__pymc-nuts__s1,pp-dirichlet-multinomial,conjugate,loto7,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-dirichlet-process-categorical__loto7__pymc__pymc-smc__s1,pp-dirichlet-process-categorical,nonparametric,loto7,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-discounted-dirichlet-categorical__loto7__builtin__analytic__s1,pp-discounted-dirichlet-categorical,conjugate,loto7,select_position_categorical,builtin,903bd35c671e06b6992e7c787220c6e36b2e17df3c066f3c10e32c21b10ee12e,0.08542686700093327,,0.14285714285714285,4.857142857142857,29.142857142857142,0.0,1.0,0.07692307692307693,0.9533120228986535,3.2514038546596518
BLOCKED,pp-dp-changepoint__loto7__numpyro__numpyro-nuts__s1,pp-dp-changepoint,nonparametric,loto7,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-dynamic-dirichlet-discount__loto7__pymc__pymc-nuts__s1,pp-dynamic-dirichlet-discount,dynamic_conjugate,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-horseshoe-categorical__loto7__pymc__pymc-advi-fullrank__s1,pp-dynamic-horseshoe-categorical,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-model-averaging__loto7__pymc__pymc-nuts__s1,pp-dynamic-model-averaging,ensemble,loto7,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-regression-categorical__loto7__pymc__pymc-nuts__s1,pp-dynamic-regression-categorical,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-empirical-bayes-dirichlet__loto7__pymc__pymc-nuts__s1,pp-empirical-bayes-dirichlet,empirical_bayes,loto7,select_position_categorical,pymc,,,,,,,,,,,
