status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-bart-categorical__mini__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,mini,select_candidate_inclusion,pymc_bart,,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__mini__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,mini,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__mini__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,mini,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__mini__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-gru__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__mini__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,mini,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__mini__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,mini,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,mini,select_position_ordinal,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-spline-categorical__mini__pymc__pymc-nuts__s1,pp-bayesian-spline-categorical,semi_parametric,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-tcn__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-tcn,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-temperature-calibration__mini__pymc__pymc-nuts__s1,pp-bayesian-temperature-calibration,calibration,mini,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-transformer__mini__pyro__pyro-svi-autonormal__s1,pp-bayesian-transformer,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-beta-binomial-candidate__mini__pymc__pymc-nuts__s1,pp-beta-binomial-candidate,conjugate,mini,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-overdispersed__mini__pymc__pymc-nuts__s1,pp-beta-binomial-overdispersed,count,mini,select_candidate_inclusion,pymc,,,,,,,,,,,
BLOCKED,pp-beta-binomial-position__mini__pymc__pymc-nuts__s1,pp-beta-binomial-position,conjugate,mini,select_position_inclusion,pymc,,,,,,,,,,,
