status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,all_positions_within_1,brier,log_loss
BLOCKED,pp-bart-categorical__numbers3__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,numbers3,digit_categorical,pymc_bart,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__numbers3__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,numbers3,calibration,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__numbers3__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,numbers3,calibration,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__numbers3__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-gru__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__numbers3__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,numbers3,digit_ordinal,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__numbers3__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,numbers3,ensemble,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,numbers3,digit_ordinal,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-spline-categorical__numbers3__pymc__pymc-nuts__s1,pp-bayesian-spline-categorical,semi_parametric,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-tcn__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-tcn,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-bayesian-temperature-calibration__numbers3__pymc__pymc-nuts__s1,pp-bayesian-temperature-calibration,calibration,numbers3,calibration,pymc,,,,,,,,,,
BLOCKED,pp-bayesian-transformer__numbers3__pyro__pyro-svi-autonormal__s1,pp-bayesian-transformer,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-beta-binomial-candidate__no-compatible-game,pp-beta-binomial-candidate,conjugate,,,builtin,,,,,,,,,,
BLOCKED,pp-beta-binomial-overdispersed__no-compatible-game,pp-beta-binomial-overdispersed,count,,,builtin,,,,,,,,,,
BLOCKED,pp-beta-binomial-position__no-compatible-game,pp-beta-binomial-position,conjugate,,,builtin,,,,,,,,,,
PASS,pp-bocpd-dirichlet-categorical__numbers3__builtin__analytic__s1,pp-bocpd-dirichlet-categorical,changepoint,numbers3,online_changepoint,builtin,617fb8a19d539f68197417cc1065398b4f057d2a6f51b4d885d7be1fdbe942dc,0.09423133199743461,,0.0,3.0,11.0,0.0,0.0,0.8882271853026172,2.138822561861122
BLOCKED,pp-conditional-bernoulli-fixed-k__no-compatible-game,pp-conditional-bernoulli-fixed-k,fixed_subset,,,builtin,,,,,,,,,,
BLOCKED,pp-deep-markov-model__numbers3__pyro__pyro-svi-autonormal__s1,pp-deep-markov-model,deep_probabilistic,numbers3,digit_categorical,pyro,,,,,,,,,,
BLOCKED,pp-dirichlet-multinomial__numbers3__pymc__pymc-nuts__s1,pp-dirichlet-multinomial,conjugate,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-dirichlet-process-categorical__numbers3__pymc__pymc-smc__s1,pp-dirichlet-process-categorical,nonparametric,numbers3,digit_categorical,pymc,,,,,,,,,,
PASS,pp-discounted-dirichlet-categorical__numbers3__builtin__analytic__s1,pp-discounted-dirichlet-categorical,conjugate,numbers3,digit_categorical,builtin,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,0.06701581099332543,,0.0,3.0,11.0,0.0,0.0,0.8834348378047792,2.2343968610153007
BLOCKED,pp-dp-changepoint__numbers3__numpyro__numpyro-nuts__s1,pp-dp-changepoint,nonparametric,numbers3,digit_categorical,numpyro,,,,,,,,,,
BLOCKED,pp-dynamic-dirichlet-discount__numbers3__pymc__pymc-nuts__s1,pp-dynamic-dirichlet-discount,dynamic_conjugate,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-dynamic-horseshoe-categorical__numbers3__pymc__pymc-advi-fullrank__s1,pp-dynamic-horseshoe-categorical,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-dynamic-model-averaging__numbers3__pymc__pymc-nuts__s1,pp-dynamic-model-averaging,ensemble,numbers3,ensemble,pymc,,,,,,,,,,
BLOCKED,pp-dynamic-regression-categorical__numbers3__pymc__pymc-nuts__s1,pp-dynamic-regression-categorical,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-empirical-bayes-dirichlet__numbers3__pymc__pymc-nuts__s1,pp-empirical-bayes-dirichlet,empirical_bayes,numbers3,digit_categorical,pymc,,,,,,,,,,
PASS,pp-expanding-dirichlet-categorical__numbers3__builtin__analytic__s1,pp-expanding-dirichlet-categorical,conjugate,numbers3,digit_categorical,builtin,ba8ceed24e792421764f15d13a10637be0930df1b3e0a7f3cf55a138ec6b845e,0.07716270200035069,,0.3333333333333333,2.6666666666666665,10.0,0.0,0.0,0.8956337710439072,2.4422379516661756
BLOCKED,pp-finite-mixture-categorical__numbers3__pymc__pymc-smc__s1,pp-finite-mixture-categorical,mixture,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-gaussian-copula-categorical__numbers3__pymc__pymc-nuts__s1,pp-gaussian-copula-categorical,copula,numbers3,joint_discrete_copula,pymc,,,,,,,,,,
