draw_no,draw_date,n1,n2,n3,n4,n5,n6,n7
1,2023-01-06,3,4,15,16,22,25,31
2,2023-01-13,5,17,18,23,24,26,31
3,2023-01-20,4,9,13,16,18,27,35
4,2023-01-27,3,6,13,20,24,26,36
5,2023-02-03,2,6,12,15,17,20,28
6,2023-02-10,3,8,11,13,17,29,36
7,2023-02-17,6,15,18,22,24,30,32
8,2023-02-24,9,11,13,25,26,27,31
9,2023-03-03,11,17,23,25,26,33,36
10,2023-03-10,4,5,8,15,18,24,36
11,2023-03-17,3,11,18,20,23,28,32
12,2023-03-24,2,3,9,13,29,30,32
13,2023-03-31,4,16,17,18,24,27,35
14,2023-04-07,1,3,4,18,26,27,36
15,2023-04-14,6,9,14,16,17,23,34
16,2023-04-21,3,4,11,12,14,34,37
17,2023-04-28,9,17,25,28,33,34,37
18,2023-05-05,7,11,15,22,23,25,30
19,2023-05-12,6,11,15,16,22,23,24
20,2023-05-19,2,7,13,18,26,36,37
21,2023-05-26,6,10,17,21,25,32,35
22,2023-06-02,3,4,14,16,28,30,34
23,2023-06-09,5,10,17,18,19,29,36
24,2023-06-16,1,6,12,20,28,32,34
25,2023-06-23,4,9,23,26,27,33,35
26,2023-06-30,2,5,8,14,20,32,36
27,2023-07-07,7,10,19,21,22,31,34
28,2023-07-14,2,6,10,15,33,35,37
29,2023-07-21,1,4,11,13,16,17,28
30,2023-07-28,1,9,13,24,33,35,37
31,2023-08-04,2,6,13,21,24,26,32
32,2023-08-11,1,6,15,16,17,31,34
33,2023-08-18,4,10,18,25,29,31,33
34,2023-08-25,3,5,16,23,25,29,37
35,2023-09-01,5,11,16,17,20,23,35
36,2023-09-08,4,5,6,18,21,27,29
37,2023-09-15,6,16,17,24,25,28,30
38,2023-09-22,9,13,16,20,26,27,35
39,2023-09-29,4,5,9,13,14,16,33
40,2023-10-06,8,9,27,31,33,34,37
41,2023-10-13,5,7,12,29,35,36,37
42,2023-10-20,1,5,6,9,16,19,20
43,2023-10-27,14,15,18,19,24,29,31
44,2023-11-03,2,7,9,17,18,27,33
45,2023-11-10,1,2,9,13,19,33,34
46,2023-11-17,4,23,29,30,34,36,37
47,2023-11-24,5,20,21,26,27,31,33
48,2023-12-01,9,10,13,15,23,24,26
