algorithm_id	artifact_id	artifact_revision	artifact_sha256	backend	canonical_v1_model_id	capabilities	class_name	default_params	environment	evidence_class	evidence_revision	execution_kind	execution_path	execution_surface	family	implementation_id	library	license	model_id	notes	package	priority	provider_script	repo_id	revision	routability	runtime_certified	runtime_status	source_alias	source_kind	source_revision	source_version	surface	task	variant_id
						"[""probability"", ""ranking""]"	UniformCandidateAdapter	{}							theory		builtin		uniform			p0											base_catalog	candidate	
						"[""probability"", ""ranking""]"	FrequencyCandidateAdapter	{}							frequency		builtin		frequency			p0											base_catalog	candidate	
						"[""probability"", ""exogenous""]"	LogisticRegression	"{""C"": 1.0, ""max_iter"": 1000}"							linear		sklearn		logistic		sklearn	p0											base_catalog	candidate	
						"[""position"", ""exogenous""]"	Ridge	"{""alpha"": 1.0}"							linear		sklearn		ridge-position		sklearn	p0											base_catalog	position_series	
						"[""position"", ""exogenous""]"	ElasticNet	"{""alpha"": 0.01, ""l1_ratio"": 0.5, ""max_iter"": 5000}"							linear		sklearn		elasticnet-position		sklearn	p1											base_catalog	position_series	
						"[""probability"", ""exogenous""]"	RandomForestClassifier	"{""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}"							tree		sklearn		random-forest		sklearn	p1											base_catalog	candidate	
						"[""probability"", ""exogenous""]"	ExtraTreesClassifier	"{""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1}"							tree		sklearn		extra-trees		sklearn	p0											base_catalog	candidate	
						"[""probability"", ""exogenous""]"	HistGradientBoostingClassifier	"{""learning_rate"": 0.05, ""max_iter"": 200}"							tree		sklearn		hist-gradient-boosting		sklearn	p0											base_catalog	candidate	
						"[""probability"", ""ranking"", ""exogenous"", ""gpu_optional""]"	LGBMClassifier	"{""learning_rate"": 0.03, ""n_estimators"": 400, ""num_leaves"": 31}"							tree		lightgbm		lightgbm-classifier		lightgbm	p0											base_catalog	candidate	
						"[""position"", ""exogenous"", ""gpu_optional""]"	LGBMRegressor	"{""learning_rate"": 0.03, ""n_estimators"": 400}"							tree		lightgbm		lightgbm-position		lightgbm	p0											base_catalog	position_series	
						"[""probability"", ""exogenous"", ""gpu_optional""]"	XGBClassifier	"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 400}"							tree		xgboost		xgboost-classifier		xgboost	p1											base_catalog	candidate	
						"[""probability"", ""exogenous"", ""gpu_optional""]"	CatBoostClassifier	"{""iterations"": 400, ""learning_rate"": 0.03, ""verbose"": false}"							tree		catboost		catboost-classifier		catboost	p1											base_catalog	candidate	
						[]	Naive	{}							statistical		statsforecast		stats-naive		statsforecast	p0											base_catalog	position_series	
						[]	HistoricAverage	{}							statistical		statsforecast		stats-historic-average		statsforecast	p0											base_catalog	position_series	
						[]	AutoARIMA	{}							statistical		statsforecast		stats-autoarima		statsforecast	p0											base_catalog	position_series	
						[]	AutoETS	{}							statistical		statsforecast		stats-autoets		statsforecast	p0											base_catalog	position_series	
						[]	AutoTheta	{}							statistical		statsforecast		stats-autotheta		statsforecast	p0											base_catalog	position_series	
						[]	AutoCES	{}							statistical		statsforecast		stats-autoces		statsforecast	p1											base_catalog	position_series	
						[]	CrostonClassic	{}							intermittent		statsforecast		stats-croston		statsforecast	p1											base_catalog	candidate_series	
						[]	TSB	{}							intermittent		statsforecast		stats-tsb		statsforecast	p1											base_catalog	candidate_series	
						"[""lags"", ""exogenous""]"	Ridge	{}							lag_ml		mlforecast		mlforecast-ridge		mlforecast	p0											base_catalog	position_series	
						"[""lags"", ""exogenous"", ""gpu_optional""]"	LGBMRegressor	{}							lag_ml		mlforecast		mlforecast-lightgbm		mlforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	DLinear	{}							deep		neuralforecast		nf-dlinear		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	NLinear	{}							deep		neuralforecast		nf-nlinear		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint"", ""exogenous""]"	NHITS	{}							deep		neuralforecast		nf-nhits		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	NBEATS	{}							deep		neuralforecast		nf-nbeats		neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""checkpoint"", ""exogenous""]"	NBEATSx	{}							deep		neuralforecast		nf-nbeatsx		neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""checkpoint"", ""exogenous""]"	TiDE	{}							deep		neuralforecast		nf-tide		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	TCN	{}							deep		neuralforecast		nf-tcn		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	GRU	{}							deep		neuralforecast		nf-gru		neuralforecast	p0											base_catalog	position_series	
						"[""gpu"", ""checkpoint""]"	LSTM	{}							deep		neuralforecast		nf-lstm		neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""probabilistic""]"	DeepAR	{}							deep_probabilistic		neuralforecast		nf-deepar		neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""exogenous"", ""attention""]"	TFT	{}							transformer		neuralforecast		nf-tft		neuralforecast	p1											base_catalog	position_series	
						"[""gpu""]"	PatchTST	{}							transformer		neuralforecast		nf-patchtst		neuralforecast	p1											base_catalog	position_series	
						"[""gpu""]"	TimesNet	{}							transformer		neuralforecast		nf-timesnet		neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""multiseries""]"	TSMixer	{}							mixer		neuralforecast		nf-tsmixer		neuralforecast	p1											base_catalog	position_series	
						"[""gpu""]"	TimeMixer	{}							mixer		neuralforecast		nf-timemixer		neuralforecast	p2											base_catalog	position_series	
						"[""gpu"", ""multivariate""]"	iTransformer	{}							transformer		neuralforecast		nf-itransformer		neuralforecast	p2											base_catalog	position_series	
						"[""gpu""]"	VanillaTransformer	{}							transformer		neuralforecast		nf-vanilla-transformer		neuralforecast	p2											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoRNN	{}							rnn		neuralforecast_auto		nf-auto-rnn	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
