environment	project_name	requires_python	source_lock	host_lock	runtime_path	runtime_found	probe_status	python_version	python_compatible	missing_distributions	failed_imports	torch_present	torch_version	torch_cuda_build	cuda_available	gpu_name	compute_capability	arch_list	sm120_listed	cuda_tensor_pass	cuda_matmul_pass	cuda_finite	torch_error	status	formal_runtime_certified
environments/autogluon-timeseries	loto-autogluon-timeseries-provider	>=3.11,<3.13	True	True		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/basicts-py310	loto-basicts-provider	>=3.10,<3.11	False	False		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/basicts-py311	loto-basicts-provider	>=3.11,<3.12	False	False		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/chronos2-py313	loto-chronos2-runtime	>=3.13,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	True	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_70"", ""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
environments/darts-notorch	loto-darts-notorch-runtime	>=3.11,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	False						[]						IMPORT_VERIFIED_CPU	False
environments/darts-torch	loto-darts-torch-runtime	>=3.11,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	True	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
environments/forecast-mcp	loto-forecast-mcp-runtime	>=3.11,<3.13	True	False		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/gluonts-compat	loto-gluonts-provider-compat	>=3.11,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	True	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_70"", ""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
environments/gluonts-latest	loto-gluonts-provider-latest	>=3.11,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	True	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
environments/granite-ttm	loto-granite-ttm-provider	>=3.11,<3.13	True	True		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/merlion-core-py311	loto-merlion-provider	>=3.11,<3.12	False	False		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/moirai	loto-moirai-provider	>=3.11,<3.13	True	True		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/moirai2-cuda13-experimental	loto-moirai2-cuda13-experimental-provider	>=3.11,<3.13	True	False	/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/bin/python	True	PASS	3.11.14	True	[]	[]	True	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
environments/moirai2-supported-py311	loto-moirai2-supported-provider	>=3.11,<3.12	False	False		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/sktime-classic-py312	loto-sktime-classic-provider	>=3.12,<3.13	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/bin/python	True	PASS	3.12.13	True	[]	[]	False						[]						IMPORT_VERIFIED_CPU	False
environments/sktime-core-py313	loto-sktime-core-provider	>=3.13,<3.14	False	True	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	False						[]						IMPORT_VERIFIED_CPU	False
environments/statsforecast-py313	loto-statsforecast-runtime	>=3.13,<3.14	False	False	/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/bin/python	True	PASS	3.13.13	True	[]	[]	False						[]						IMPORT_VERIFIED_CPU	False
environments/sundial	loto-sundial-provider	>=3.11,<3.13	True	True		False	NO_HOST_RUNTIME			[]	[]													NO_HOST_RUNTIME	False
environments/tabpfn-ts	loto-tabpfn-ts-provider	>=3.11,<3.13	True	True	/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python	True	PASS	3.12.13	True	[]	[]	True	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	"[""sm_75"", ""sm_80"", ""sm_86"", ""sm_90"", ""sm_100"", ""sm_120""]"	True	True	True	True		CUDA_KERNEL_PASS	False
