environment	project_name	requires_python	phase2_status	mapping_status	selected_runtime	selected_score	selected_reasons	candidate_count	all_candidates
environments/autogluon-timeseries	loto-autogluon-timeseries-provider	>=3.11,<3.13	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/basicts-py310	loto-basicts-provider	>=3.10,<3.11	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/basicts-py311	loto-basicts-provider	>=3.11,<3.12	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/chronos2-py313	loto-chronos2-runtime	>=3.13,<3.14	CUDA_KERNEL_PASS	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python	1000	"[""PHASE2_DIRECT_PROJECT_VENV""]"	1	"[{""reasons"": [""PHASE2_DIRECT_PROJECT_VENV""], ""runtime_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python"", ""score"": 1000}]"
environments/darts-notorch	loto-darts-notorch-runtime	>=3.11,<3.14	IMPORT_VERIFIED_CPU	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python	1000	"[""PHASE2_DIRECT_PROJECT_VENV""]"	1	"[{""reasons"": [""PHASE2_DIRECT_PROJECT_VENV""], ""runtime_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python"", ""score"": 1000}]"
environments/darts-torch	loto-darts-torch-runtime	>=3.11,<3.14	CUDA_KERNEL_PASS	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python	1000	"[""PHASE2_DIRECT_PROJECT_VENV""]"	1	"[{""reasons"": [""PHASE2_DIRECT_PROJECT_VENV""], ""runtime_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python"", ""score"": 1000}]"
environments/forecast-mcp	loto-forecast-mcp-runtime	>=3.11,<3.13	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/gluonts-compat	loto-gluonts-provider-compat	>=3.11,<3.14	CUDA_KERNEL_PASS	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python	1000	"[""PHASE2_DIRECT_PROJECT_VENV""]"	1	"[{""reasons"": [""PHASE2_DIRECT_PROJECT_VENV""], ""runtime_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python"", ""score"": 1000}]"
environments/gluonts-latest	loto-gluonts-provider-latest	>=3.11,<3.14	CUDA_KERNEL_PASS	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python	1000	"[""PHASE2_DIRECT_PROJECT_VENV""]"	1	"[{""reasons"": [""PHASE2_DIRECT_PROJECT_VENV""], ""runtime_path"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python"", ""score"": 1000}]"
environments/granite-ttm	loto-granite-ttm-provider	>=3.11,<3.13	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/merlion-core-py311	loto-merlion-provider	>=3.11,<3.12	NO_HOST_RUNTIME	UNRESOLVED_NO_RUNTIME			[]	0	[]
environments/moirai	loto-moirai-provider	>=3.11,<3.13	NO_HOST_RUNTIME	EXISTING_RUNTIME_CANDIDATE	/home/az/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/bin/python3.11	175	"[""NORMALIZED_ENV_NAME_MATCH"", ""FAMILY_MATCH:moirai""]"	2	"[{""reasons"": [""NORMALIZED_ENV_NAME_MATCH"", ""FAMILY_MATCH:moirai""], ""runtime_path"": ""/home/az/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/bin/python3.11"", ""score"": 175}, {""reasons"": [""FAMILY_MATCH:gluonts""], ""runtime_path"": ""/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu/bin/python3.13"", ""score"": 55}]"
