execution_kind	execution_path	model_id	repo_id	revision	route_status	selected_environment	selected_environment_score	runtime_mapping_status	selected_runtime	environment_candidates
runtime_certifier	scripts/certify_kdpp_fixed_k_runtime.py				UNRESOLVED_EXECUTION_ENVIRONMENT					[]
runtime_certifier	scripts/certify_moirai2_runtime.py				AMBIGUOUS_ROUTE		230			"[{""environment"": ""environments/moirai"", ""reasons"": [""MODEL_FAMILY_MATCH:moirai"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}, {""environment"": ""environments/moirai2-cuda13-experimental"", ""reasons"": [""MODEL_FAMILY_MATCH:moirai"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}, {""environment"": ""environments/moirai2-supported-py311"", ""reasons"": [""MODEL_FAMILY_MATCH:moirai"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
runtime_certifier	scripts/certify_tabpfn_ts_v2_runtime.py				ROUTE_CANDIDATE	environments/tabpfn-ts	230	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python	"[{""environment"": ""environments/tabpfn-ts"", ""reasons"": [""MODEL_FAMILY_MATCH:tabpfn"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
runtime_certifier	scripts/certify_toto2_4m_runtime.py				ROUTE_CANDIDATE	environments/toto2-4m-py312	230	EXISTING_RUNTIME_CANDIDATE	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu/bin/python3.12	"[{""environment"": ""environments/toto2-4m-py312"", ""reasons"": [""MODEL_FAMILY_MATCH:toto"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
certification_runner	scripts/run_auto_frets_runtime_certification.sh				UNRESOLVED_EXECUTION_ENVIRONMENT					[]
certification_runner	scripts/run_auto_segrnn_runtime_certification.sh				UNRESOLVED_EXECUTION_ENVIRONMENT					[]
certification_runner	scripts/run_auto_timellm_runtime_certification.sh				UNRESOLVED_EXECUTION_ENVIRONMENT					[]
provider	scripts/run_autogluon_timeseries_provider.py				ROUTE_CANDIDATE	environments/autogluon-timeseries	230	UNRESOLVED_NO_RUNTIME		"[{""environment"": ""environments/autogluon-timeseries"", ""reasons"": [""MODEL_FAMILY_MATCH:autogluon"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
provider	scripts/run_basicts_provider.py				AMBIGUOUS_ROUTE		230			"[{""environment"": ""environments/basicts-py310"", ""reasons"": [""MODEL_FAMILY_MATCH:basicts"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}, {""environment"": ""environments/basicts-py311"", ""reasons"": [""MODEL_FAMILY_MATCH:basicts"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
provider	scripts/run_chronos2_provider.py				ROUTE_CANDIDATE	environments/chronos2-py313	230	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python	"[{""environment"": ""environments/chronos2-py313"", ""reasons"": [""MODEL_FAMILY_MATCH:chronos"", ""ENTRYPOINT_ENV_NAME_MATCH""], ""score"": 230}]"
