environment	project_name	requires_python	mapping_status	expected_direct_prefix	selected_runtime_prefix	selected_score	selected_reasons	selected_phase2_statuses	selected_torch_versions	selected_cuda_builds	candidate_count	all_candidates
environments/autogluon-timeseries	loto-autogluon-timeseries-provider	>=3.11,<3.13	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv			[]	[]	[]	[]	0	[]
environments/basicts-py310	loto-basicts-provider	>=3.10,<3.11	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/basicts-py310/.venv			[]	[]	[]	[]	0	[]
environments/basicts-py311	loto-basicts-provider	>=3.11,<3.12	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/basicts-py311/.venv			[]	[]	[]	[]	0	[]
environments/chronos2-py313	loto-chronos2-runtime	>=3.13,<3.14	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv	1000	"[""DIRECT_PROJECT_SYS_PREFIX""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"	2	"[{""reasons"": [""DIRECT_PROJECT_SYS_PREFIX""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv"", ""score"": 1000}, {""reasons"": [""FAMILY_MATCH:chronos""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/chronos"", ""score"": 100}]"
environments/darts-notorch	loto-darts-notorch-runtime	>=3.11,<3.14	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	1000	"[""DIRECT_PROJECT_SYS_PREFIX""]"	"[""IMPORT_VERIFIED_CPU""]"	[]	[]	2	"[{""reasons"": [""DIRECT_PROJECT_SYS_PREFIX""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv"", ""score"": 1000}, {""reasons"": [""FAMILY_MATCH:darts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv"", ""score"": 100}]"
environments/darts-torch	loto-darts-torch-runtime	>=3.11,<3.14	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv	1000	"[""DIRECT_PROJECT_SYS_PREFIX""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	2	"[{""reasons"": [""DIRECT_PROJECT_SYS_PREFIX""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv"", ""score"": 1000}, {""reasons"": [""FAMILY_MATCH:darts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv"", ""score"": 100}]"
environments/forecast-mcp	loto-forecast-mcp-runtime	>=3.11,<3.13	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/forecast-mcp/.venv			[]	[]	[]	[]	0	[]
environments/gluonts-compat	loto-gluonts-provider-compat	>=3.11,<3.14	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv	1000	"[""DIRECT_PROJECT_SYS_PREFIX""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"	2	"[{""reasons"": [""DIRECT_PROJECT_SYS_PREFIX""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv"", ""score"": 1000}, {""reasons"": [""FAMILY_MATCH:gluonts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv"", ""score"": 100}]"
environments/gluonts-latest	loto-gluonts-provider-latest	>=3.11,<3.14	DIRECT_PROJECT_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv	1000	"[""DIRECT_PROJECT_SYS_PREFIX""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	2	"[{""reasons"": [""DIRECT_PROJECT_SYS_PREFIX""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv"", ""score"": 1000}, {""reasons"": [""FAMILY_MATCH:gluonts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv"", ""score"": 100}]"
environments/granite-ttm	loto-granite-ttm-provider	>=3.11,<3.13	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/granite-ttm/.venv			[]	[]	[]	[]	0	[]
environments/merlion-core-py311	loto-merlion-provider	>=3.11,<3.12	UNRESOLVED_NO_RUNTIME	/mnt/e/env/ts/loto_forecast_platform/environments/merlion-core-py311/.venv			[]	[]	[]	[]	0	[]
