runtime_identity_sha256	runtime_prefix	classification	python_version	base_prefix	aliases	alias_count	site_packages	package_counts	package_fingerprints	phase2_statuses	torch_versions	cuda_builds
a3530f9af624632a752a245e98d8313aad388042620b24578e87beb03cc58352	/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0	VIRTUAL_ENVIRONMENT	3.10.19	/home/az/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu	"[""/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0/bin/python"", ""/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0/bin/python3""]"	2	"[""/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0/lib/python3.10/site-packages""]"	[44]	"[""79577a4c0bb5dccbce098e28f0c908567a0805a714c9942a1a94dbd323909e91""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"
93c1de541659c3ffbaf386474373c95459513a633fceb0c804e23c8d78f66a58	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/chronos	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/chronos/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/chronos/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/chronos/lib/python3.13/site-packages""]"	[60]	"[""0e9ffe1c0fa980bb9a1c1762a577e41b4588caf9a0a5d10570abbd364252019a""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
dcff20f5c4574ccb1b042e36a22cccbe5679f68c24020c89d06bb171a9418b83	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate	VIRTUAL_ENVIRONMENT	3.11.14	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/flowstate/lib/python3.11/site-packages""]"	[75]	"[""af702c39a30d413cbe29d6cfb0125a325db92ef12dbf3f8354e72ede64c6bfc0""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.10.0+cu128""]"	"[""12.8""]"
43461da44c74a5f9734b485987bc6e24d203834dd42e450741dc638d02703c76	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/kronos	VIRTUAL_ENVIRONMENT	3.11.14	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/kronos/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/kronos/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/kronos/lib/python3.11/site-packages""]"	[56]	"[""e161f160e2ad2442da3a7f192191fc33fd7641de160829ec5e8b1a56814466b0""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
c822a69a414ae17c5d8e9e442a6583f7e0e202bee9f3dbb320de875d1d6eb853	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/lag-llama	VIRTUAL_ENVIRONMENT	3.12.13	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/lag-llama/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/lag-llama/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/lag-llama/lib/python3.12/site-packages""]"	[83]	"[""2db66d1217f35d2883e9f5df3de4e316566970871da282b384f48d5cdc69164d""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
cecd0d5efff00b125bca280fc6082d5f1af50d68a4e40076957199575b22f746	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment	VIRTUAL_ENVIRONMENT	3.11.14	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/lib/python3.11/site-packages""]"	[44]	"[""4cb66ba700f92f94bacd04140203c7b7e570c19f9221d87c3d2c0857a885f9f7""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
915cc93574ef583972762f8839ec92237816db0ff15db41ea233cac1b61ded86	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/lib/python3.13/site-packages""]"	[53]	"[""4f998d5e34ab25c0d77969386352171dde703655cb6b4f4aea1961b6c28a3947""]"	"[""FRAMEWORK_IMPORT_FAILED""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
af2d73113bebb44bfeec986824027171a8b62864e90ca81d15279b979cc0f8ac	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto	VIRTUAL_ENVIRONMENT	3.12.13	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/lib/python3.12/site-packages""]"	[85]	"[""21fea0a4ecdb6c624ce793b2e8ef03afa48bf6edfaf07ea88636b6437c7f6ecc""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
980408c717e19b94a8a94633daff41cfcb9e817b5eadd546348c8ea38093607c	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open	VIRTUAL_ENVIRONMENT	3.12.13	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/lib/python3.12/site-packages""]"	[219]	"[""4642f086e92aeed34df914f37677283bfc8ef870b22a604a8864c8c3fac2ee4e""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
9ac962f0bb15e71072fbf616f082a92ac0705eb938baaa2e6d9c80cf03091a67	/mnt/e/env/ts/loto_forecast_platform/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/.venv/lib/python3.13/site-packages""]"	[129]	"[""63d78ee01f725618841bd72d38e8bed4b09b131a448713d8495b651936140e81""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"
