environment	mapping_status	phase3c_classification	candidate_runtime	candidate_source	candidate_probe_status	candidate_python_version	python_compatible	dependency_coverage	missing_dependencies	version_incompatible	declared_contract_compatible	phase2_statuses	torch_versions	cuda_builds	lane	phase4_smoke_allowed	phase4_priority	decision_reason
environments/darts-torch	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	CURRENT_MODERN_GPU_CANDIDATE	True	10	Direct venv, declared dependencies compatible, CUDA kernel PASS, Torch 2.13 family.
environments/gluonts-latest	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	CURRENT_MODERN_GPU_CANDIDATE	True	10	Direct venv, declared dependencies compatible, CUDA kernel PASS, Torch 2.13 family.
environments/gluonts-compat	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"	CURRENT_LEGACY_GPU_COMPAT	True	20	Direct venv, declared dependencies compatible, CUDA kernel PASS, pre-2.13 Torch family.
environments/darts-notorch	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""IMPORT_VERIFIED_CPU""]"	[]	[]	CURRENT_CPU_LEGACY	True	30	Direct venv, declared dependencies compatible, CPU import verified.
environments/sktime-classic-py312	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.12.13	True	1.0	[]	[]	True	"[""IMPORT_VERIFIED_CPU""]"	[]	[]	CURRENT_CPU_LEGACY	True	30	Direct venv, declared dependencies compatible, CPU import verified.
environments/sktime-core-py313	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""IMPORT_VERIFIED_CPU""]"	[]	[]	CURRENT_CPU_LEGACY	True	30	Direct venv, declared dependencies compatible, CPU import verified.
environments/statsforecast-py313	DIRECT_PROJECT_RUNTIME		/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv	DIRECT_PROJECT_RUNTIME	PASS	3.13.13	True	1.0	[]	[]	True	"[""IMPORT_VERIFIED_CPU""]"	[]	[]	CURRENT_CPU_LEGACY	True	30	Direct venv, declared dependencies compatible, CPU import verified.
environments/toto2-4m-py312	MULTIPLE_VENV_CANDIDATES	REUSABLE_COMPATIBLE_VENV	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto	REUSABLE_COMPATIBLE_VENV	PASS	3.12.13	True	1.0	[]	[]	True	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	REUSABLE_COMPATIBLE_VENV	True	40	Existing separate venv satisfies declared Python/direct dependency metadata; formal smoke still required.
environments/moirai	EXISTING_VENV_CANDIDATE		/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv	EXISTING_VENV_CANDIDATE	PASS	3.11.14	True	0.8333333333333334	"[""huggingface-hub""]"	[]	False	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"	EXISTING_VENV_FORMAL_COMPAT_REQUIRED	False	65	Existing candidate is related but metadata contract is incomplete or incompatible.
environments/timer-base-84m-supported-py310	EXISTING_VENV_CANDIDATE		/home/az/.cache/loto/timer-base-84m/venvs/5349b4ae2a1c16a0b27b4fe3cf7b77a3d8bd6d0a22329b8b66691c5e3e63efe0	EXISTING_VENV_CANDIDATE	PASS	3.10.19	True	0.8333333333333334	"[""huggingface-hub""]"	[]	False	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"	EXISTING_VENV_FORMAL_COMPAT_REQUIRED	False	65	Existing candidate is related but metadata contract is incomplete or incompatible.
