feature,selection_count,mean_rank,mean_mutual_information,worst_mutual_information
freq_0_10,16,9.6875,0.01813852395991275,0.011744043709003282
lag_36,15,9.133333333333333,0.019380408963079146,0.008989803316969969
lag_55,14,9.214285714285714,0.018922171470965404,0.010031615230464475
lag_75,12,11.583333333333334,0.018237489054304595,0.01126101860573403
freq_7_10,12,16.583333333333332,0.013648654314089495,0.009999457533368172
lag_83,12,17.833333333333332,0.014569061657401091,0.01029623880847863
mean_50,11,13.818181818181818,0.01531460169622122,0.009653904913597522
freq_6_50,10,14.7,0.015302980696247826,0.011370118367528104
lag_64,10,17.6,0.014824147625799755,0.00888015753132132
freq_6_10,9,8.777777777777779,0.01970885094791767,0.012050715789711841
freq_1_10,9,11.222222222222221,0.0176984672533689,0.01147079566694531
freq_8_5,9,11.88888888888889,0.01651848409125467,0.009988367573960932
freq_2_10,9,13.333333333333334,0.015300278492900462,0.011143922731070344
min_200,9,13.555555555555555,0.017449527562398013,0.010660018034901242
freq_0_200,9,13.666666666666666,0.01545820768373396,0.009834593077799436
lag_59,9,14.333333333333334,0.01665662044824269,0.010037797951661709
freq_8_200,9,16.22222222222222,0.01407285469913782,0.010075432763621883
freq_3_10,9,16.88888888888889,0.015427364699119353,0.009717783271793845
freq_7_50,9,19.555555555555557,0.013746956117329468,0.008818561392947455
lag_14,8,7.875,0.021209034773427726,0.01505310700244955
freq_1_200,8,8.375,0.021502387410879453,0.010750627314152439
freq_5_200,8,12.625,0.018608629011513278,0.01010173754767063
std_10,8,16.0,0.012711697219978335,0.010189028341373252
lag_43,8,17.5,0.014012753450583837,0.010604099371128495
freq_3_20,8,19.0,0.013258938024570233,0.009431690062128073
lag_23,7,7.857142857142857,0.01744561685552291,0.014044557676462954
median_50,7,13.142857142857142,0.01675885549770825,0.01090859495875085
lag_62,7,14.0,0.015305129136571591,0.009398034118609289
lag_70,7,15.571428571428571,0.016067317906538987,0.011481573596137551
freq_9_200,7,15.714285714285714,0.014568501577566792,0.010484850379772315
freq_0_20,7,17.285714285714285,0.012714280586783097,0.010611420794808257
freq_2_200,7,18.571428571428573,0.013253230197986379,0.009579616059450125
lag_26,7,20.714285714285715,0.011916119569584271,0.010358687807959566
median_200,7,24.0,0.011929586239325829,0.009002075620714312
lag_7,6,5.666666666666667,0.02048941488864897,0.016515153091674506
lag_90,6,7.833333333333333,0.02439279019864915,0.011605404930678631
lag_3,6,10.333333333333334,0.018000778307805925,0.01161840072731124
