split,method,hit_within_1,hit_std_across_seeds,exact_rate,mae,mse,prediction_unique,maximum_mode_share,hit_advantage,mae_advantage,mse_advantage,mean_temperature,upper_boundary_count,lower_boundary_count
0,dirichlet_w20_a5,0.294,0.0,0.1,3.2640000000000002,16.072,8.0,0.298,0.013999999999999957,0.6920000000000002,6.8,,0,0
0,multinomial_logistic,0.2924,0.012521980673998814,0.10400000000000001,3.2543999999999995,15.9328,8.0,0.296,0.012399999999999967,0.7016,6.9392,45.28684303229693,2,0
0,ordinal_logistic,0.2948,0.00878635305459552,0.10880000000000001,3.2092,15.569999999999999,8.0,0.284,0.014799999999999957,0.7468,7.302,45.021667162447095,2,0
0,train_only_constant,0.28,0.0,0.094,3.9560000000000004,22.872,1.0,1.0,0.0,0.0,0.0,,0,0
1,dirichlet_w20_a5,0.336,0.0,0.132,2.996,14.084,8.0,0.178,0.008000000000000007,0.532,5.155999999999999,,0,0
1,multinomial_logistic,0.3064,0.018514858897653003,0.1012,3.1096,14.5696,8.0,0.268,-0.02160000000000002,0.4184,4.670399999999998,54.82358428554803,2,0
1,ordinal_logistic,0.30920000000000003,0.0276260746397312,0.10600000000000001,3.0951999999999997,14.505599999999998,8.0,0.262,-0.018800000000000004,0.4328,4.734399999999999,50.98873040377538,2,0
1,train_only_constant,0.328,0.0,0.10600000000000001,3.528,19.24,1.0,1.0,0.0,0.0,0.0,,0,0
2,dirichlet_w20_a5,0.248,0.0,0.074,3.286,15.678,8.0,0.196,-0.07600000000000001,0.32799999999999985,4.195999999999998,,0,0
2,multinomial_logistic,0.2904,0.022244100341438852,0.09559999999999999,3.2451999999999996,15.8492,8.0,0.36,-0.03360000000000002,0.3687999999999999,4.024799999999999,3.2461319189794735,0,0
2,ordinal_logistic,0.2892,0.01967739820199815,0.092,3.2340000000000004,15.6772,8.0,0.364,-0.03480000000000002,0.3799999999999997,4.196799999999999,3.2259607144557543,0,0
2,train_only_constant,0.324,0.0,0.088,3.614,19.874,1.0,1.0,0.0,0.0,0.0,,0,0
3,dirichlet_w20_a5,0.308,0.0,0.10200000000000001,3.11,14.785999999999998,8.0,0.324,0.006000000000000005,0.6020000000000003,5.846000000000002,,0,0
3,multinomial_logistic,0.292,0.007483314773547864,0.096,3.1296,14.712,8.0,0.286,-0.009999999999999998,0.5824000000000003,5.920000000000002,99.99998399670605,5,0
3,ordinal_logistic,0.284,0.011045361017187238,0.0928,3.1464,14.743199999999998,8.0,0.284,-0.017999999999999995,0.5656000000000001,5.888800000000002,95.99256797975536,4,0
3,train_only_constant,0.302,0.0,0.094,3.7120000000000006,20.632,1.0,1.0,0.0,0.0,0.0,,0,0
4,dirichlet_w20_a5,0.3,0.0,0.098,3.13,14.690000000000001,8.0,0.288,0.03999999999999998,0.7160000000000002,6.9719999999999995,,0,0
4,multinomial_logistic,0.31880000000000003,0.017584083712266628,0.1016,3.04,14.1296,8.0,0.37,0.0588,0.8060000000000003,7.532399999999998,91.60130226612665,4,0
4,ordinal_logistic,0.3144,0.01438054240979805,0.1032,3.0352,14.0232,8.0,0.364,0.05439999999999999,0.8108000000000001,7.638799999999999,83.34061805643687,4,0
4,train_only_constant,0.26,0.0,0.10600000000000001,3.846,21.662,1.0,1.0,0.0,0.0,0.0,,0,0
